CITY,TEAM,LEAGUE,YEAR,HOME_GMS,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVR_GMS,OVR_AVG,OVR_PCT
Seattle,Seahawks,NFL,2015,8,"69,020",103,8,"68,221",97.2,16,"68,620",100.0
Miami,Dolphins,NFL,2015,8,"67,193",102.9,8,"69,471",95.0,16,"68,332",98.7
Boston,Patriots,NFL,2015,8,"66,829",97.2,8,"75,206",98.1,16,"71,017",97.7
Los Angeles,Rams,NFL,2015,8,"66,772",94.6,8,"65,284",95.8,16,"66,028",95.2
Cleveland,Browns,NFL,2015,8,"66,186",90.4,8,"66,596",94.4,16,"66,391",92.4
Indianapolis,Colts,NFL,2015,8,"66,047",104.8,8,"67,386",97.0,16,"66,717",100.7
Pittsburgh,Steelers,NFL,2015,8,"64,356",98.3,8,"66,982",96.0,16,"65,669",97.1
Phoenix,AZ Cardinals,NFL,2015,8,"64,185",98.7,8,"64,369",96.1,16,"64,277",97.4
Nashville,Titans,NFL,2015,8,"62,304",90.1,8,"68,365",96.9,16,"65,334",93.6
Chicago,Bears,NFL,2015,8,"62,035",100.9,8,"65,472",97.6,16,"63,754",99.2
Tampa,Buccaneers,NFL,2015,8,"61,560",93.5,8,"68,614",95.4,16,"65,087",94.5
Jacksonville,Jaguars,NFL,2015,7,"61,463",91.5,8,"67,780",96.1,15,"64,832",94.0
Cincinnati,Bengals,NFL,2015,8,"61,389",93.7,8,"67,125",96.7,16,"64,257",95.2
Detroit,Lions,NFL,2015,8,"61,347",94.4,8,"66,870",98.4,16,"64,109",96.4
Oakland,Raiders,NFL,2015,8,"54,613",86.5,8,"66,764",95.9,16,"60,689",91.4
Minneapolis,Vikings,NFL,2015,8,"52,430",99.8,8,"67,359",99.1,16,"59,894",99.4
Los Angeles,Chargers,NFL,2015,8,"52,402",80.2,8,"67,306",97.9,16,"59,854",89.3
Dallas,Cowboys,NFL,2016,8,"92,539",115.7,8,"72,721",97.9,16,"82,630",107.1
New York,NY Giants,NFL,2016,8,"78,789",95.5,8,"73,375",95.7,16,"76,082",95.6
Washington,Redskins,NFL,2016,8,"78,304",95.5,8,"72,527",100.1,16,"75,415",97.7
Green Bay,Packers,NFL,2016,8,"78,215",96,8,"67,936",97.7,16,"73,075",96.8
New York,Jets,NFL,2016,8,"78,160",94.7,8,"67,887",98.0,16,"73,023",96.2
Denver,Broncos,NFL,2016,8,"76,774",100.9,8,"64,968",94.2,16,"70,871",97.7
Los Angeles,Rams,NFL,2016,1,"74,121",89.8,8,"66,618",96.3,9,"67,452",95.5
Charlotte,Panthers,NFL,2016,8,"73,792",100,7,"69,032",95.2,15,"71,571",97.8
Kansas City,Chiefs,NFL,2016,8,"73,328",95.5,8,"66,073",95.3,16,"69,700",95.4
New Orleans,Saints,NFL,2016,8,"73,109",100.2,8,"69,520",97.0,16,"71,314",98.6
Houston,Texans,NFL,2016,8,"71,868",101.1,7,"68,684",98.1,15,"70,382",99.7
Baltimore,Ravens,NFL,2016,8,"71,102",100.1,8,"70,663",96.7,16,"70,883",98.4
San Francisco,49ers,NFL,2016,8,"70,178",102.4,7,"67,726",99.7,15,"69,033",101.2
