,GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3453,"San Jose-Sunnyvale-Santa Clara, CA",55,   Management of companies and enterprises,1628.3,,,,,,,,,,
3454,"San Jose-Sunnyvale-Santa Clara, CA",56,   Administrative and support and waste management and remediation services,4250.1,4419.6,4034.0,4353.2,4896.1,5724.8,4801.8,5347.0,5921.3,6562.9,7111.6
3457,"San Jose-Sunnyvale-Santa Clara, CA","61, 62","  Educational services, health care, and social assistance",9433.9,10363.8,10695.5,10861.2,11113.5,11503.9,11986.0,12529.3,13131.6,13599.0,14351.0
3458,"San Jose-Sunnyvale-Santa Clara, CA",61,   Educational services,2712.7,2842.3,2979.9,3036.9,3090.6,3198.8,3276.2,3440.9,3532.2,3675.2,3809.4
3459,"San Jose-Sunnyvale-Santa Clara, CA",62,   Health care and social assistance,6722.8,7521.3,7715.6,7824.3,8023.1,8305.3,8712.9,9090.4,9608.2,9931.1,10557.2
3463,"San Jose-Sunnyvale-Santa Clara, CA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",3609.6,3634.2,3166.4,3468.1,3682.2,3582.2,3972.7,4418.3,4778.8,4953.8,5181.8
3464,"San Jose-Sunnyvale-Santa Clara, CA",71,"   Arts, entertainment, and recreation",816.6,841.2,838.5,939.9,924.1,921.2,1051.9,1071.2,1081.4,1139.3,1234.1
3467,"San Jose-Sunnyvale-Santa Clara, CA",72,   Accommodation and food services,2795.7,2795.0,2328.0,2528.3,2757.9,2661.0,2921.3,3345.1,3692.6,3810.3,3945.4
3470,"San Jose-Sunnyvale-Santa Clara, CA",81,  Other services (except government and government enterprises),2373.1,2299.5,2173.1,2140.5,2155.7,2161.2,2167.9,2231.7,2294.2,2368.1,2438.6
3475,"San Jose-Sunnyvale-Santa Clara, CA","11, 21",Natural resources and mining,465.2,465.7,570.2,473.6,347.5,,379.1,379.4,514.5,565.9,514.8
3476,"San Jose-Sunnyvale-Santa Clara, CA","42, 44-45",Trade,18522.6,17876.9,15275.3,16159.6,17176.8,17015.1,,,,,
