Date,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa,Washington
2009-01-01,111.4531463,152.6756438,122.5665756,132.1832621,104.6707193,114.7707357,124.4553503,77.69056418,126.0550728,167.8310264,158.7975622,121.4468689,181.5708074,117.8756582,155.9433484,150.1767611,126.6550737,157.1617635,150.5216719,174.1837157
2009-02-01,109.4012635,151.9055531,121.2445403,129.4038279,100.5964863,114.8985983,123.1272354,75.4449718,121.9683783,165.5457688,154.7594363,119.4318988,179.3415447,113.5077865,154.0317505,149.1510239,123.9731925,155.792608,147.4832894,171.4289001
2009-03-01,108.0700153,149.6720959,120.9418806,127.336126,99.89692552,114.7935356,123.3147228,73.13832705,117.8090675,163.7406544,150.4294787,113.7524047,176.1948474,108.7078307,150.999066,146.5769887,121.0943942,152.2608329,144.1053384,169.8867161
2009-04-01,107.3087453,148.7991955,119.56607,125.8639645,99.66149875,115.331235,123.7387642,72.20223023,113.4639435,161.5460245,147.9137002,113.207864,173.3798215,106.1325683,148.8620158,145.7136673,120.168794,150.4694773,142.4343564,169.5744471
2009-05-01,106.1328235,149.1638416,119.4902411,125.7985138,102.1338043,116.114236,124.0232978,71.66882251,110.2298242,159.8372228,145.6728158,112.617554,172.863941,104.2677249,146.9669347,145.3895115,119.866476,148.5586227,140.9823964,170.0299444
2009-06-01,105.8538965,150.8416248,119.0750602,124.5194934,104.7534433,117.8173483,125.2751358,69.90487637,107.5705056,160.3113765,145.9451098,113.7749182,172.250378,104.6550137,147.3333569,146.4687228,123.3419341,147.8505178,140.3905606,171.7669969
2009-07-01,107.0969326,151.3683206,119.281623,125.9230713,105.5274612,118.6843942,126.2883885,69.30969688,105.8909912,162.2114002,146.3446937,116.7377816,172.2931024,105.7903647,147.6515133,148.886693,126.1580954,147.1204214,140.8712633,173.5998753
2009-08-01,107.9189867,152.3919705,118.7057674,126.6398523,104.3806463,118.9211729,127.028071,69.66761264,104.9556951,164.2585447,147.3235431,119.1706771,172.3151162,107.0511995,147.8802571,151.0333375,129.2357974,146.9686194,141.4124455,175.7394404
2009-09-01,108.7430077,152.8023453,118.4332504,128.1651629,103.9214225,118.8929257,127.2827493,70.60061294,103.8174144,165.5291719,148.344488,121.0835912,172.427663,108.1219542,147.575809,152.7199723,131.5570514,146.6314088,140.3040999,177.4017667
2009-10-01,109.1660279,153.1447911,118.592355,127.5694762,103.8922245,119.0930258,127.592688,71.40464293,103.5671046,166.8887931,148.3299579,121.6137723,172.3832511,109.3816091,148.1495741,154.2257981,134.0270364,147.587616,139.0576002,178.096433
2009-11-01,109.7930928,154.0789557,118.9715698,127.7638832,104.5294998,120.2102951,127.9940015,71.60746007,103.5586601,168.9201469,148.2174485,122.1871113,171.7687864,110.8888468,149.6470799,155.780224,136.1175506,147.9610766,139.0282637,178.5837216
2009-12-01,109.837237,154.8339735,118.9650213,127.1216591,104.3739325,120.1402854,128.0699085,72.07769285,104.2237843,171.5857017,148.140436,122.7942023,171.966858,112.1194676,150.213574,157.0381507,137.0263063,148.572252,138.8816529,179.791594
2010-01-01,109.2703836,154.9766416,118.8046332,126.8396331,105.2316779,119.6177922,127.8945127,72.14065204,104.0720857,174.4412088,148.3470894,123.8514269,172.3589755,112.5425169,149.5803942,159.0698065,138.4932663,148.0470264,139.6582308,179.9709162
2010-02-01,108.7231883,154.7284081,118.2097539,126.223186,104.6098449,118.0095524,127.7287517,71.56354461,104.1139459,174.4671293,148.3119155,123.2955347,172.4441036,111.6219285,146.8481809,160.5082928,139.2947623,147.4588762,138.9007079,180.4539755
